crop_year,district_id,total_tons,avg_price,num_varieties
2008,14,59692.5,206.0,47
2008,15,334.20000000000005,850.0,14
2008,16,182.79999999999998,867.4075675675676,37
2008,17,5594.9,582.5,30
2009,1,1055.7,974.115576923077,52
2009,2,1329.6,1014.336,30
2009,3,829.4000000000001,1196.9430357142858,56
2009,4,859.8000000000001,1531.9935294117647,51
2009,5,3216.9,553.7619047619048,21
2009,6,1154.0,773.7313333333334,45
2009,7,3207.0,922.7032142857142,56
2009,8,4863.4,980.19578125,64
2009,9,9444.0,831.3333333333334,36
2009,10,1039.0,746.4818333333334,60
2009,11,6124.0,305.81396825396826,63
2009,12,11167.6,464.0352727272727,55
2009,13,43504.5,234.0888888888889,72
2009,14,39149.4,215.99777777777777,45
2009,15,336.3,843.3333333333334,15
2009,16,154.29999999999998,962.0073809523809,42
2009,17,3339.4,453.60555555555555,27
2010,1,1088.4,1016.9457407407407,54
2010,2,548.5,913.8717948717949,39
2010,3,693.5,1257.1586440677966,59
2010,4,464.8,1632.8367924528302,53
2010,5,2712.7,655.5655555555555,27
2010,6,2102.8,854.375,48
2010,7,5530.4,880.761320754717,53
2010,8,3469.3,853.4879411764706,68
2010,9,7948.099999999999,813.2558139534884,43
2010,10,4390.7,662.493275862069,58
2010,11,14217.1,402.1933846153846,65
2010,12,22271.4,464.3009803921568,51
2010,13,88370.0,274.31791666666663,72
2010,14,87336.9,235.21442307692308,52
2010,15,457.8,491.6666666666667,12
2010,16,160.7,916.0871428571428,35
2010,17,4190.1,543.5481818181818,33
2011,1,793.1,1125.4259259259259,54
2011,2,640.4,857.0405405405405,37
2011,3,523.5,1177.7158333333332,60
2011,4,478.9,1653.216274509804,51
2011,5,1916.2,751.875,32
2011,6,672.9,775.7843137254902,51
2011,7,2764.6,904.8322000000001,50
2011,8,1876.8000000000002,986.5501612903225,62
2011,9,7981.5,805.9455102040816,49
2011,10,845.2,825.7365517241379,58
2011,11,10773.9,476.06805970149253,67
2011,12,46080.8,584.8254901960784,51
