id,crop_year,district_id,variety_code,grape_type_code,brix_code,brix_value,wt_price_per_ton,tons_crushed,report_type
0d1909db8f5fefca,2000,3,89075,7,1610,1.61,1600.0,1.8,Final
8072e7ef4e9dc4f2,2000,3,32683,7,0010,,1000.0,29.6,Final
311228968643aa65,2000,3,92789,7,0010,,600.0,3.0,Final
906287b8ed8c56a6,2000,3,34723,6,1610,1.61,1500.0,1.0,Final
b92e1a509fe5caa4,2000,3,97586,6,1010,1.01,2100.0,19.0,Final
d71619c6841c7948,2000,3,96341,6,1000,1.0,550.0,7.1,Final
8969c46306224b93,2000,3,25250,6,0010,,1161.77,7.2,Final
edd6614a56a6ebf6,2000,3,65102,6,0010,,1100.0,1.8,Final
d3994b70659d3cb4,2000,3,60420,6,0010,,600.0,15.0,Final
5e1142fd45448941,2000,3,55894,6,5990,5.99,707.0,45.5,Final
c44f97a25eaab8d8,2000,3,49411,6,1000,1.0,1600.0,1.7,Final
fd328a1e9ef7bcbe,2000,3,31159,6,0010,,1500.0,1.4,Final
b32a46d86e9b845f,2000,3,82878,6,5620,5.62,1000.0,7.0,Final
c7f262aaccbb8f6c,2000,3,37688,6,0010,,2200.0,4.7,Final
7777de50fc2b149b,2000,3,69496,6,0010,,875.0,5.5,Final
5f214efacc6b94da,2000,3,14303,6,0230,0.23,800.0,0.5,Final
b8e81f87e696b4bf,2000,3,97003,6,0010,,1800.0,1.7,Final
77a6bd10f163e1b7,2000,3,41265,6,1830,1.83,1400.0,0.1,Final
c28741cdfe150d02,2000,3,50245,6,1410,1.41,800.0,34.3,Final
673facdda9911507,2000,3,44477,6,0010,,545.13,10.6,Final
3841319408c45e1c,2000,3,19354,6,1610,1.61,1442.0,5.3,Final
cd11711a09c98744,2000,3,32925,6,0010,,700.0,23.4,Final
6166c7f94636ff4d,2000,3,58757,6,0010,,2000.0,4.9,Final
d2292ad53ba215d3,2000,3,33646,6,0010,,742.0,108.9,Final
e617029860910b18,2000,3,49776,6,0010,,575.0,2.8,Final
72bce3df0a0386e1,2000,3,51905,6,0010,,2269.85,29.1,Final
97c5c0730081ad65,2000,3,79633,6,1830,1.83,1000.0,0.6,Final
b47465ead6ba2023,2000,3,39360,6,0010,,2100.0,10.6,Final
1c2f28c20aed5f50,2000,3,74843,6,0010,,1113.53,88.0,Final
e6a0e537868a2a8c,2000,3,38245,6,0010,,1000.0,14.9,Final
a4e46531b5303512,2000,3,28407,6,1240,1.24,1400.0,46.3,Final
a7220be5fcc01900,2000,3,59887,6,0010,,350.0,3.6,Final
f74fab950ba169c8,2000,3,55124,6,0010,,500.0,1.6,Final
c92f175315af8f13,2000,4,62594,7,0010,,600.0,4.5,Final
d8d67ee7e83cd46f,2000,4,93146,7,3970,3.97,700.0,61.7,Final
c496495e9d64712a,2000,4,46999,7,0010,,550.0,5.2,Final
d0129568fca05528,2000,4,38174,7,1100,1.1,1000.0,18.0,Final
aa26201db9cf3f2a,2000,4,28324,7,0010,,500.0,12.6,Final
4804f7a0bb39dfc1,2000,4,66546,7,0010,,1600.0,0.5,Final
44ca488bc5122ffd,2000,4,45183,7,0010,,1335.67,2.5,Final
07ad537606328752,2000,4,60317,7,0410,0.41,1196.0,0.6,Final
bdbf0e4e3dc3267f,2000,4,91155,7,0010,,821.13,7.3,Final
18fead0f881be61e,2000,4,84170,7,0010,,1259.56,54.7,Final
7e7a066ac7851927,2000,4,91354,7,0010,,2334.4,0.6,Final
e3b1aad143746493,2000,4,51980,7,0010,,900.0,10.9,Final
cc7aa071240bfb9c,2000,4,50886,7,0010,,1244.38,14.7,Final
5feb225b738f6b22,2000,4,29099,7,0010,,1000.0,2.2,Final
a5d98298c80ec08d,2000,4,79539,7,1040,1.04,775.0,7.6,Final
f7f08c1f6664428d,2000,4,89075,7,5043,5.043,1500.0,56.3,Final
10287ce62df571be,2000,4,32683,7,0010,,1200.0,11.7,Final
adf928293e377a15,2000,4,92789,7,0980,0.98,2000.0,3.6,Final
46d1242518f4b921,2000,4,25250,6,1630,1.63,1300.0,4.2,Final
745146189b3311b3,2000,4,65102,6,0010,,750.0,4.2,Final
f2d8908fe4517e63,2000,4,60420,6,0010,,1000.0,32.7,Final
ad799998f6eee021,2000,4,55894,6,1630,1.63,1000.0,10.6,Final
48064ef7f07d73b5,2000,4,47684,6,0010,,1400.0,8.1,Final
80ea28282eb5d499,2000,4,82878,6,1240,1.24,800.0,3.1,Final
20607448462c5ae3,2000,4,69496,6,0010,,700.0,58.4,Final
7a1d57260455d1b0,2000,4,14303,6,0010,,2000.0,0.9,Final
c5760c2da0c159ab,2000,4,97003,6,1740,1.74,2030.0,1.5,Final
f46f77cc9e13e56b,2000,4,41265,6,0010,,2000.0,1.7,Final
3b0cc1b88400094e,2000,4,50245,6,6635,6.635,1100.0,31.9,Final
db0f8de90107e431,2000,4,44477,6,0010,,1289.56,59.3,Final
21deb3c775d8e85b,2000,4,32925,6,0010,,500.0,0.2,Final
5c849315706f0956,2000,4,58757,6,1240,1.24,2096.0,2.2,Final
74dc1cfb2bfab98c,2000,4,33646,6,0010,,500.0,1.2,Final
04b35f4841fa3cbc,2000,4,49776,6,1620,1.62,2000.0,1.0,Final
8e881b482e2e34f7,2000,4,73014,6,1280,1.28,1190.0,7.1,Final
3dad989c523dd404,2000,4,51905,6,5620,5.62,1400.0,3.7,Final
86a2535b355638f4,2000,4,79633,6,1280,1.28,3000.0,0.8,Final
366f736ca0fa9165,2000,4,74843,6,1610,1.61,1000.0,0.1,Final
e245df5bed19a1ef,2000,4,38245,6,0820,0.82,850.0,45.2,Final
266b0e31dd7cf4cc,2000,4,28407,6,1630,1.63,1622.0,8.2,Final
69ecccfc625b62d7,2000,4,59887,6,0100,,350.0,2.0,Final
6f854ff6f345bf0d,2000,4,55124,6,1130,1.13,1500.0,0.5,Final
8b1b91c3868d158c,2000,5,62594,7,4660,4.66,400.0,179.7,Final
916e1f3876004eda,2000,5,93146,7,3285,3.285,300.0,48.4,Final
09bb1730621fd134,2000,5,80213,7,1000,1.0,500.0,6.0,Final
6f5d6660f6ee4a96,2000,5,46999,7,4060,4.06,525.0,181.3,Final
00b4ef08077d605d,2000,5,32623,7,0010,,350.0,2.3,Final
ef5d5a73b3fddb29,2000,5,66546,7,5620,5.62,725.0,14.4,Final
adc44370744a3d9d,2000,5,84170,7,0010,,650.0,103.3,Final
88b9f86190e59341,2000,5,51980,7,3460,3.46,500.0,93.1,Final
06a8b120ffa20c15,2000,5,79539,7,5620,5.62,775.0,173.9,Final
d1b54f0d1ce0f672,2000,5,92343,7,0900,0.9,290.0,140.5,Final
352d330a5a16decf,2000,5,89075,7,5660,5.66,650.0,41.1,Final
4bbf70be3311379f,2000,5,96341,6,0010,,800.0,1.8,Final
48124aa5886d624d,2000,5,65102,6,6160,6.16,1705.0,34.8,Final
199d76b6b49e43d8,2000,5,60420,6,0010,,200.0,7.4,Final
2d81884ba7b3d0e7,2000,5,55894,6,0010,,505.0,50.3,Final
254d9163113db0d7,2000,5,92922,6,1000,1.0,500.0,18.9,Final
5a91a242f91b2ebc,2000,5,31159,6,0010,,2100.0,18.8,Final
086710a568e3aa87,2000,5,82878,6,0010,,500.0,14.5,Final
b4c685ca30dca28a,2000,5,69496,6,5670,5.67,400.0,39.6,Final
376be1ee505047cf,2000,5,14303,6,1630,1.63,950.0,1.2,Final
3b53f0281f9ab36e,2000,5,50245,6,5160,5.16,500.0,746.8,Final
8bbb158c68bc0978,2000,5,32925,6,0010,,505.0,3.7,Final
71a643a7dc1640f5,2000,5,33646,6,5660,5.66,663.45,271.2,Final
fcd5dc1d34504ebe,2000,5,51905,6,0010,,1900.0,10.3,Final
ac7b1121481f0b08,2000,5,74843,6,0520,0.52,1300.0,38.8,Final
6395da61070f12fc,2000,5,38245,6,3970,3.97,850.0,71.3,Final
c885f702fb88f140,2000,5,59887,6,2790,2.79,600.0,467.0,Final
7215a1ecf6247a3e,2000,6,70922,6,0010,,600.0,10.8,Final
